timestamp,lat,lon,fix_quality,num_sats,speed,satellite_id,snr,producer_timestamp,signal_drop,satellite_loss,lat_diff,lon_diff,drift_distance_m,position_drift,anomaly_detected,anomaly_type
2026-04-25 18:34:51.871921+00:00,-23.6701,133.8855,1,10,0.0,2,10.0625,2026-04-25T18:34:51.871921Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:34:51.925719+00:00,-23.6701,133.8855,1,10,0.0,2,10.0625,2026-04-25T18:34:51.925719Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:35:03.413916+00:00,-23.6701,133.8855,1,10,0.0,2,9.3125,2026-04-25T18:35:03.413916Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:35:03.467310+00:00,-23.6701,133.8855,1,10,0.0,2,9.3125,2026-04-25T18:35:03.467310Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:35:15.010774+00:00,-23.6701,133.8855,1,10,0.0,2,9.6875,2026-04-25T18:35:15.010774Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:35:15.064227+00:00,-23.6701,133.8855,1,10,0.0,2,9.6875,2026-04-25T18:35:15.064227Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:35:26.609855+00:00,-23.6701,133.8855,1,10,0.0,2,9.5,2026-04-25T18:35:26.609855Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:35:26.556539+00:00,-23.6701,133.8855,1,10,0.0,2,9.5,2026-04-25T18:35:26.556539Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:35:38.094163+00:00,-23.6701,133.8855,1,10,0.0,2,9.875,2026-04-25T18:35:38.094163Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:35:38.147767+00:00,-23.6701,133.8855,1,10,0.0,2,9.875,2026-04-25T18:35:38.147767Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:35:49.579770+00:00,-23.6701,133.8855,1,10,0.0,2,9.8125,2026-04-25T18:35:49.579770Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:35:49.632700+00:00,-23.6701,133.8855,1,10,0.0,2,9.8125,2026-04-25T18:35:49.632700Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:36:01.221426+00:00,-23.6701,133.8855,1,10,0.0,2,9.625,2026-04-25T18:36:01.221426Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:36:01.168550+00:00,-23.6701,133.8855,1,10,0.0,2,9.625,2026-04-25T18:36:01.168550Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:36:12.720284+00:00,-23.6701,133.8855,1,10,0.0,2,10.25,2026-04-25T18:36:12.720284Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:36:12.773056+00:00,-23.6701,133.8855,1,10,0.0,2,10.25,2026-04-25T18:36:12.773056Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:36:24.246735+00:00,-23.6701,133.8855,1,10,0.0,2,10.125,2026-04-25T18:36:24.246735Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:36:24.300139+00:00,-23.6701,133.8855,1,10,0.0,2,10.125,2026-04-25T18:36:24.300139Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
2026-04-25 18:36:35.861708+00:00,-23.6701,133.8855,1,10,0.0,2,9.875,2026-04-25T18:36:35.861708Z,True,False,0.0,0.0,0.0,False,True,SIGNAL_DROP
